device_id,gender,age,age_cate,timestamp,longitude,latitude,hour,lon_jitter,lat_jitter,size_for_plot,hour_oct
2820430946322886294,M,21,A22-,2016-05-03 12:58:58,108.81,23.07,12,108.80971709081342,23.07187300700043,1,4
4546116091280128285,M,22,A22-,2016-05-05 18:21:11,110.23,20.04,18,110.23512227853479,20.041807322740958,1,6
7849111383031438568,M,34,A32-40,2016-05-03 19:51:30,123.49,41.71,19,123.49106002571831,41.71426381546572,1,6
-1762697191251584400,M,30,A29-31,2016-05-05 14:04:28,114.0,22.67,14,113.99917247720036,22.6700773735857,1,4
4750870437766392528,M,27,A27-28,2016-05-06 00:44:49,106.52,29.51,0,106.520306282247,29.512753734904894,1,0
-7868922663453980926,F,27,A27-28,2016-05-01 00:09:53,113.11,23.04,0,113.11301867154566,23.035834130712136,1,0
-5495972136393803660,M,28,A27-28,2016-05-04 02:00:25,102.8,24.99,2,102.7993278022705,24.99165452520224,1,0
-8065276269961253282,M,17,A22-,2016-05-07 20:35:22,116.49,31.76,20,116.48706295444043,31.760410613872047,1,6
4842364584809817368,F,29,A29-31,2016-05-03 12:40:28,111.43,34.26,12,111.43297094956557,34.261415168691116,1,4
4978583316868402435,F,25,A23-26,2016-05-04 19:01:18,121.54,38.88,19,121.53934206872955,38.88229713264261,1,6
-1163879922077088287,M,22,A22-,2016-05-01 22:39:31,113.69,34.6,22,113.69255595870042,34.60051972908045,1,7
678895764312250223,M,49,A40+,2016-05-04 20:49:34,104.04,30.71,20,104.03886912960175,30.70944458646452,1,6
-4623442932099355793,M,24,A23-26,2016-05-01 12:20:07,104.2,30.88,12,104.20131750948029,30.871479159699863,1,4
7511952801758671404,F,41,A32-40,2016-05-03 14:24:20,87.55,43.86,14,87.54970987606028,43.86548356574405,1,4
2395328440270835567,M,38,A32-40,2016-05-01 10:00:31,114.02,33.59,10,114.02163703207998,33.59479605541919,1,3
8011226863669745839,F,60,A40+,2016-05-06 16:13:29,102.74,25.06,16,102.73974475033432,25.05596575239698,1,5
-2997574359444935210,M,24,A23-26,2016-05-02 11:52:41,118.49,24.92,11,118.49154368083308,24.925967874073454,1,3
-596795997000456231,M,25,A23-26,2016-05-04 23:36:44,113.69,34.77,23,113.6845500547889,34.77195425148642,1,7
5830905084159006949,F,29,A29-31,2016-05-06 17:13:17,121.48,31.24,17,121.48099057389861,31.23966944560391,1,5
5934859688215758258,F,48,A40+,2016-05-03 19:28:00,109.19,28.16,19,109.18719188353661,28.160885044053312,1,6
-3204873506967126173,M,29,A29-31,2016-05-03 20:02:24,112.18,37.2,20,112.17803551860234,37.19755678118386,1,6
2346805324332342179,F,23,A22-,2016-05-06 10:14:59,112.93,36.32,10,112.93282147932345,36.321484104493955,1,3
-1019924438708371117,M,40,A40+,2016-05-04 10:03:51,114.57,38.07,10,114.57294284103611,38.0685473289068,1,3
-906684455621397904,M,45,A40+,2016-05-01 13:21:37,113.29,23.12,13,113.29075545806852,23.121303641993208,1,4
4424928764046125276,F,30,A29-31,2016-05-05 22:45:16,114.07,22.63,22,114.07313849245301,22.62761394808959,1,7
-540200947281428061,M,43,A40+,2016-05-04 17:52:59,116.37,39.99,17,116.37247259406327,39.988463278833855,1,5
2042848544457295135,M,33,A32-40,2016-05-01 04:17:57,105.92,29.36,4,105.91691585822961,29.36315567719529,1,1
-777420447035084334,M,29,A29-31,2016-05-05 23:20:06,109.13,21.43,23,109.13330550399792,21.425283253226056,1,7
5587837929619725000,M,31,A29-31,2016-05-06 22:33:09,104.18,30.58,22,104.17804933405834,30.584741928870724,1,7
-8296813404897347929,F,28,A27-28,2016-05-06 11:47:17,108.33,22.85,11,108.33125944862773,22.853302444155627,1,3
-1598852820370562379,F,33,A32-40,2016-05-07 11:52:50,110.37,19.98,11,110.37051297269805,19.975366719390177,1,3
-7040791784866622265,M,39,A40+,2016-05-05 10:25:03,116.42,40.04,10,116.42069358886522,40.03633640290931,1,3
-8686980665310410150,M,47,A40+,2016-05-06 21:03:50,118.77,30.94,21,118.76904927466086,30.937969499201916,1,7
-4172404290623287151,F,20,A22-,2016-05-01 06:47:08,112.44,39.31,6,112.44235352623159,39.309572450904575,1,2
-8532926019621136946,M,38,A32-40,2016-05-04 19:25:35,119.49,32.37,19,119.49127963702787,32.37488299672816,1,6
-8808776377817703092,M,21,A22-,2016-05-04 19:29:35,107.52,26.29,19,107.52375016734523,26.288008545887593,1,6
-8309150638608488978,M,21,A22-,2016-05-03 20:49:15,116.01,29.68,20,116.01092515571915,29.679119331791476,1,6
703026628984458529,M,28,A27-28,2016-05-03 20:26:33,114.13,30.3,20,114.12973136557456,30.29670748822607,1,6
-5061247980221630379,F,25,A23-26,2016-05-03 17:18:19,117.01,36.69,17,117.01038345991883,36.69230043707151,1,5
-2765737451915638050,M,24,A23-26,2016-05-05 08:29:00,116.41,39.97,8,116.41661436648211,39.969974775176254,1,2
4681053706637477745,M,31,A29-31,2016-05-05 10:59:57,120.47,32.49,10,120.46632195116504,32.49438651994594,1,3
5716104256488721686,M,38,A32-40,2016-05-02 00:13:31,107.51,27.35,0,107.51620454223793,27.353448728563908,1,0
-5731153676699446102,M,27,A27-28,2016-05-04 18:49:23,123.09,41.16,18,123.09066958226217,41.162697052913764,1,6
5900532243990700539,F,29,A29-31,2016-05-07 16:19:27,119.62,29.11,16,119.61924504904921,29.112038311247026,1,5
-1990997462706584704,M,56,A40+,2016-05-06 06:36:40,116.47,39.88,6,116.46770325305653,39.877620093863065,1,2
2798088763423475874,M,20,A22-,2016-05-05 17:51:22,119.91,28.48,17,119.90897228824045,28.483015648570053,1,5
-485344872460373975,F,29,A29-31,2016-05-06 19:50:23,104.05,30.68,19,104.05291421178529,30.675598185545148,1,6
-1185211232935062319,M,28,A27-28,2016-05-05 16:56:16,108.29,30.23,16,108.29554830978525,30.22868761867793,1,5
-1957052737058040152,F,33,A32-40,2016-05-01 13:07:43,113.34,34.82,13,113.34002277289649,34.821292390081275,1,4
-1148067562698847297,M,25,A23-26,2016-05-07 23:02:29,112.6,26.88,23,112.5993620494307,26.874990246443964,1,7
-1931466207586900273,M,53,A40+,2016-05-03 12:45:10,108.37,22.86,12,108.36785865068914,22.863927708130667,1,4
8247444402270763110,M,37,A32-40,2016-05-07 09:27:08,115.88,28.69,9,115.87909120697616,28.687573391657303,1,3
2587246872012815574,M,26,A23-26,2016-05-03 15:01:44,114.02,22.66,15,114.02082592662964,22.657986057562987,1,5
-429999002924329359,M,62,A40+,2016-05-01 13:05:04,117.66,39.03,13,117.66124472272872,39.02582222962863,1,4
2708274639679937791,M,42,A40+,2016-05-05 22:15:41,119.09,25.46,22,119.08690047988631,25.461044806318487,1,7
-996531507169870197,M,20,A22-,2016-05-05 10:53:36,120.58,27.99,10,120.5820505133494,27.99194311058489,1,3
-4826157408100077212,M,27,A27-28,2016-05-07 17:47:41,125.29,43.88,17,125.29107112131584,43.87841335739056,1,5
1545411655253944634,M,23,A23-26,2016-05-03 22:54:37,113.31,23.06,22,113.30564538292526,23.061361480936124,1,7
8781655188184243016,M,37,A32-40,2016-05-05 11:06:17,117.14,39.11,11,117.14079551185976,39.11360689028961,1,3
2905442468613664277,F,29,A29-31,2016-05-04 12:34:18,110.96,35.02,12,110.95857974103242,35.01849053342201,1,4
8770020232307921111,M,41,A40+,2016-05-07 11:08:18,119.3,26.07,11,119.29725886071476,26.071854718359784,1,3
8750074241196451661,F,24,A23-26,2016-05-05 23:50:18,125.16,46.59,23,125.16070610362668,46.59409950747354,1,7
-6298897121637355612,M,34,A32-40,2016-05-06 15:35:50,113.9,22.57,15,113.90152735450111,22.570792677572452,1,5
-8917201840883756760,F,28,A27-28,2016-05-02 16:44:06,111.7,30.84,16,111.70501838841254,30.84346490204071,1,5
-2939863281170973665,M,29,A29-31,2016-05-06 07:42:43,120.44,30.43,7,120.44026475693923,30.42435269607523,1,2
-8230348034024096540,M,36,A32-40,2016-05-05 08:13:18,113.31,23.02,8,113.31587371999221,23.021298357231842,1,2
5179602448197047652,F,40,A32-40,2016-05-02 08:13:28,121.16,31.47,8,121.160950837895,31.472998579309003,1,2
4505714599473564924,M,65,A40+,2016-05-03 16:50:15,121.59,29.87,16,121.58746231508738,29.86925552689354,1,5
8978779403059242645,M,34,A32-40,2016-05-06 17:33:09,121.26,30.34,17,121.25878854407051,30.33719418878809,1,5
273810396963165160,M,26,A23-26,2016-05-04 16:51:44,120.81,30.01,16,120.81011140309256,30.010023062752694,1,5
-4064476775004611737,M,30,A29-31,2016-05-04 20:00:44,102.63,25.04,20,102.63066966268995,25.040384013156704,1,6
1016229074528776269,M,32,A32-40,2016-05-02 00:01:14,112.84,35.5,0,112.84311605449591,35.49568168139781,1,0
4232235518342185371,M,29,A29-31,2016-05-04 08:26:36,109.44,24.33,8,109.43465348700094,24.326783586417488,1,2
199883397471823014,M,55,A40+,2016-05-01 20:17:42,120.16,30.27,20,120.16001686911429,30.268423577404736,1,6
-1751975526925082860,F,22,A22-,2016-05-03 00:03:37,104.43,29.46,0,104.4315766297179,29.457952717851928,1,0
1593002807087923727,M,26,A23-26,2016-05-02 13:23:37,103.81,30.69,13,103.80712914821167,30.6870631655648,1,4
-956389839285039115,M,35,A32-40,2016-05-06 19:53:41,116.34,39.98,19,116.34665626924603,39.979769253199734,1,6
-3441949644822144862,M,44,A40+,2016-05-04 18:17:06,113.99,23.06,18,113.99140656476196,23.059420180182066,1,6
2223741600210060467,M,37,A32-40,2016-05-02 20:05:18,113.82,23.29,20,113.81860207425603,23.287738892636835,1,6
5438885489845538597,F,47,A40+,2016-05-07 13:34:11,115.1,40.6,13,115.10301571400227,40.59845722939851,1,4
3811365606834846770,M,29,A29-31,2016-05-05 17:08:16,122.88,45.62,17,122.88240703619701,45.62433718592403,1,5
-5766318082586712121,M,20,A22-,2016-05-04 14:44:32,118.11,24.51,14,118.10391633183244,24.50485630333336,1,4
-7669091876901862048,M,42,A40+,2016-05-02 12:15:37,113.38,22.58,12,113.37729811016496,22.58530321898235,1,4
626071240346317401,M,36,A32-40,2016-05-03 16:32:01,117.3,34.23,16,117.29976400752456,34.23108263269961,1,5
8384764560490405922,F,22,A22-,2016-05-05 08:33:21,113.26,22.74,8,113.26169944034532,22.747105645342806,1,2
-7840040832525996835,F,33,A32-40,2016-05-06 14:10:08,116.95,33.63,14,116.94965914607825,33.63051850671806,1,4
6486664230924149476,M,32,A32-40,2016-05-02 12:10:15,109.44,24.29,12,109.44092833873344,24.289050385495525,1,4
-3422415371792702255,F,49,A40+,2016-05-01 16:42:49,116.09,38.69,16,116.09671737651568,38.68689002314171,1,5
-3023730584757716035,M,40,A40+,2016-05-03 16:06:53,120.59,27.84,16,120.59206532390134,27.833768778189583,1,5
-3910947054781314708,M,27,A27-28,2016-05-03 07:13:54,120.32,31.59,7,120.32345115304385,31.589897133410854,1,2
-6034668068708284865,M,27,A27-28,2016-05-05 02:20:10,121.41,31.25,2,121.40933206013038,31.255245206455374,1,0
2434522049037581390,M,28,A27-28,2016-05-06 14:27:05,111.3,23.48,14,111.30055560126478,23.485195448943276,1,4
-749360912186010781,F,39,A32-40,2016-05-04 12:54:23,113.66,34.74,12,113.66124604568947,34.739677942128104,1,4
-5518842978165649229,F,34,A32-40,2016-05-03 16:09:55,114.09,32.13,16,114.08696989534471,32.12741414483911,1,5
-4100601935100144456,M,20,A22-,2016-05-05 18:13:15,118.09,24.63,18,118.09276709029818,24.634912263161752,1,6
-8371444428465225301,M,36,A32-40,2016-05-06 15:37:52,118.05,24.52,15,118.0518001584838,24.517726986097014,1,5
-4650158875464502134,F,29,A29-31,2016-05-02 08:41:10,115.88,39.56,8,115.88325093660374,39.55779754649128,1,2
8479954671003649710,M,37,A32-40,2016-05-05 05:04:45,102.72,25.01,5,102.71844986625275,25.012839065236665,1,1
8879672715748671276,M,31,A29-31,2016-05-06 06:51:29,121.32,31.06,6,121.31874492643841,31.062027349241816,1,2
-7943803235650357578,M,33,A32-40,2016-05-03 19:10:36,116.29,42.04,19,116.2961170071133,42.043348731784505,1,6
-4496605291612762373,F,33,A32-40,2016-05-02 16:48:20,122.85,41.04,16,122.85301143841494,41.045346718774596,1,5
-2241630667689903982,M,31,A29-31,2016-05-03 11:58:42,114.34,36.08,11,114.34344858993732,36.07821568395475,1,3
4717828571223633882,M,30,A29-31,2016-05-02 23:06:28,114.53,22.49,23,114.52936376299554,22.49325469017783,1,7
-1206147883600225423,M,45,A40+,2016-05-06 20:39:54,119.0,32.46,20,119.00281902439889,32.46560697824427,1,6
8625281123074269963,M,30,A29-31,2016-05-04 11:08:46,118.76,34.12,11,118.76088266150084,34.1264510534131,1,3
7804225525552008762,F,19,A22-,2016-05-01 17:17:24,115.8,33.86,17,115.79958295253775,33.86098364411115,1,5
6750114910614105417,F,42,A32-40,2016-05-02 13:03:37,118.76,32.1,13,118.76432184189485,32.09965718586398,1,4
-2448632916435131893,M,48,A40+,2016-05-01 17:31:55,111.72,40.82,17,111.71913478472248,40.82050335751244,1,5
4615920224133468790,M,57,A40+,2016-05-01 00:33:39,118.51,31.68,0,118.51317970805638,31.68429839250917,1,0
-1936636585756409186,M,41,A40+,2016-05-07 13:58:58,114.28,22.74,13,114.27608384030678,22.731724407478985,1,4
8306258214123266652,F,21,A22-,2016-05-06 07:05:32,102.72,25.03,7,102.72003833278163,25.03133606134198,1,2
-8577876217493424987,M,25,A23-26,2016-05-06 15:16:48,108.86,34.27,15,108.85814416514623,34.26806405183242,1,5
-1351462401524912611,M,24,A23-26,2016-05-02 02:59:15,113.34,23.13,2,113.33932630702463,23.129166435625283,1,0
-5973717966165183441,F,20,A22-,2016-05-05 12:43:31,117.96,36.64,12,117.957237051191,36.63904760234629,1,4
8992022736050875471,M,52,A40+,2016-05-01 19:35:29,120.07,33.44,19,120.0688677713342,33.44051339616973,1,6
