age,balance,day,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
58,2143,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
44,29,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
33,2,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
47,1506,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
33,1,5,1,0,0,low-None-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
35,231,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
28,447,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,yes,unknown,may,unknown,no
42,2,5,1,0,0,high-skill-levels,Alone,tertiary,yes,yes,no,unknown,may,unknown,no
58,121,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
43,593,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
41,270,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
29,390,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
53,6,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
58,71,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
57,162,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,229,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
45,13,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
57,52,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
60,60,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
33,0,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
28,723,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
56,779,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
32,23,5,1,0,0,low-None-skill-levels,Alone,primary,no,yes,yes,unknown,may,unknown,no
25,50,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
40,0,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,yes,unknown,may,unknown,no
44,-372,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
39,255,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
52,113,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
46,-246,5,2,0,0,high-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
36,265,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
57,839,5,1,0,0,middle-skill-levels,Partnered,secondary,no,no,yes,unknown,may,unknown,no
49,378,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
60,39,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
59,0,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,10635,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
57,63,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
25,-7,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,-3,5,1,0,0,middle-skill-levels,Partnered,secondary,no,no,no,unknown,may,unknown,no
36,506,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
37,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
44,2586,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
50,49,5,2,0,0,high-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
60,104,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
54,529,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
58,96,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
36,-171,5,1,0,0,middle-skill-levels,Alone,primary,no,yes,no,unknown,may,unknown,no
58,-364,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
44,0,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
55,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
29,0,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
54,1291,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
48,-244,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
32,0,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
42,-76,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
24,-103,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
38,243,5,1,0,0,high-skill-levels,Alone,tertiary,no,no,yes,unknown,may,unknown,no
38,424,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
47,306,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
40,24,5,1,0,0,low-None-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
46,179,5,1,0,0,middle-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
32,0,5,1,0,0,middle-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
53,989,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
57,249,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
33,790,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
49,154,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
51,6530,5,1,0,0,high-skill-levels,Partnered,tertiary,no,yes,no,unknown,may,unknown,no
60,100,5,1,0,0,low-None-skill-levels,Partnered,tertiary,no,no,no,unknown,may,unknown,no
59,59,5,1,0,0,high-skill-levels,Alone,tertiary,no,yes,no,unknown,may,unknown,no
55,1205,5,2,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
35,12223,5,1,0,0,low-None-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
57,5935,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
31,25,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
54,282,5,1,0,0,high-skill-levels,Partnered,secondary,no,yes,yes,unknown,may,unknown,no
55,23,5,1,0,0,low-None-skill-levels,Partnered,primary,no,yes,no,unknown,may,unknown,no
43,1937,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
53,384,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,no
44,582,5,1,0,0,low-None-skill-levels,Partnered,secondary,no,no,yes,unknown,may,unknown,no
55,91,5,1,0,0,middle-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
49,0,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,yes,unknown,may,unknown,no
55,1,5,1,0,0,middle-skill-levels,Alone,secondary,yes,yes,no,unknown,may,unknown,no
45,206,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
47,164,5,1,0,0,middle-skill-levels,Alone,secondary,no,no,no,unknown,may,unknown,no
42,690,5,1,0,0,middle-skill-levels,Alone,secondary,no,yes,no,unknown,may,unknown,no
59,2343,5,1,0,0,middle-skill-levels,Partnered,secondary,no,yes,no,unknown,may,unknown,yes
